Time,Temperature (°C),Pressure (Pa),Altitude (m)
2025-01-10 13:47:38,22.4,101764,-36.48
2025-01-10 13:47:40,22.4,101760,-36.15
2025-01-10 13:47:42,22.4,101755,-35.74
2025-01-10 13:47:44,22.4,101754,-35.66
2025-01-10 13:47:46,22.4,101758,-35.99
2025-01-10 13:47:48,22.4,101753,-35.57
2025-01-10 13:47:50,22.4,101757,-35.9
2025-01-10 13:47:52,22.4,101759,-36.07
2025-01-10 13:47:54,22.4,101762,-36.32
2025-01-10 13:47:56,22.4,101760,-36.15
2025-01-10 13:47:58,22.4,101762,-36.32
2025-01-10 13:48:00,22.4,101762,-36.32
2025-01-10 13:48:02,22.4,101763,-36.4
2025-01-10 13:48:04,22.4,101768,-36.82
2025-01-10 13:48:06,22.4,101764,-36.48
2025-01-10 13:48:08,22.4,101765,-36.57
2025-01-10 13:48:10,22.4,101762,-36.32
2025-01-10 13:48:13,22.4,101759,-36.07
2025-01-10 13:48:15,22.4,101757,-35.9
2025-01-10 13:48:17,22.4,101757,-35.9
2025-01-10 13:48:19,22.4,101762,-36.32
2025-01-10 13:48:21,22.4,101760,-36.15
2025-01-10 13:48:23,22.4,101763,-36.4
2025-01-10 13:48:25,22.4,101765,-36.57
2025-01-10 13:48:27,22.4,101765,-36.57
2025-01-10 13:48:29,22.4,101760,-36.15
2025-01-10 13:48:31,22.4,101758,-35.99
2025-01-10 13:48:33,22.4,101756,-35.82
2025-01-10 13:48:35,22.4,101757,-35.9
2025-01-10 13:48:37,22.4,101757,-35.9
2025-01-10 13:48:39,22.4,101762,-36.32
2025-01-10 13:48:41,22.4,101763,-36.4
2025-01-10 13:48:43,22.4,101758,-35.99
2025-01-10 13:48:45,22.4,101759,-36.07
2025-01-10 13:48:47,22.4,101762,-36.32
2025-01-10 13:48:49,22.4,101759,-36.07
2025-01-10 13:48:52,22.4,101762,-36.32
2025-01-10 13:48:54,22.4,101758,-35.99
2025-01-10 13:48:56,22.4,101757,-35.9
2025-01-10 13:48:58,22.4,101747,-35.07
2025-01-10 13:49:00,22.4,101755,-35.74
2025-01-10 13:49:02,22.4,101753,-35.57
2025-01-10 13:49:04,22.4,101753,-35.57
2025-01-10 13:49:06,22.4,101759,-36.07
2025-01-10 13:49:08,22.4,101758,-35.99
2025-01-10 13:49:10,22.4,101757,-35.9
2025-01-10 13:49:12,22.4,101764,-36.48
2025-01-10 13:49:14,22.4,101761,-36.24
2025-01-10 13:49:16,22.4,101764,-36.48
2025-01-10 13:49:18,22.4,101760,-36.15
2025-01-10 13:49:20,22.4,101757,-35.9
2025-01-10 13:49:22,22.4,101761,-36.24
2025-01-10 13:49:24,22.4,101763,-36.4
2025-01-10 13:49:26,22.4,101755,-35.74
2025-01-10 13:49:29,22.4,101764,-36.48
2025-01-10 13:49:31,22.4,101763,-36.4
2025-01-10 13:49:33,22.4,101761,-36.24
2025-01-10 13:49:35,22.4,101765,-36.57
2025-01-10 13:49:37,22.4,101757,-35.9
2025-01-10 13:49:39,22.4,101762,-36.32
2025-01-10 13:49:41,22.4,101757,-35.9
2025-01-10 13:49:43,22.4,101763,-36.4
2025-01-10 13:49:45,22.4,101757,-35.9
2025-01-10 13:49:47,22.4,101761,-36.24
2025-01-10 13:49:49,22.4,101761,-36.24
2025-01-10 13:49:51,22.4,101761,-36.24
2025-01-10 13:49:53,22.4,101759,-36.07
2025-01-10 13:49:55,22.4,101764,-36.48
2025-01-10 13:49:57,22.4,101761,-36.24
2025-01-10 13:49:59,22.4,101763,-36.4
2025-01-10 13:50:01,22.4,101767,-36.73
2025-01-10 13:50:03,22.4,101751,-35.41
2025-01-10 13:50:05,22.4,101757,-35.9
2025-01-10 13:50:08,22.4,101758,-35.99
2025-01-10 13:50:10,22.4,101757,-35.9
2025-01-10 13:50:12,22.4,101763,-36.4
2025-01-10 13:50:14,22.4,101756,-35.82
2025-01-10 13:50:16,22.4,101765,-36.57
2025-01-10 13:50:18,22.4,101760,-36.15
2025-01-10 13:50:20,22.4,101761,-36.24
2025-01-10 13:50:22,22.4,101761,-36.24
2025-01-10 13:50:24,22.4,101759,-36.07
2025-01-10 13:50:26,22.4,101761,-36.24
2025-01-10 13:50:28,22.4,101760,-36.15
2025-01-10 13:50:30,22.4,101756,-35.82
2025-01-10 13:50:32,22.4,101755,-35.74
2025-01-10 13:50:34,22.4,101759,-36.07
2025-01-10 13:50:36,22.4,101752,-35.49
2025-01-10 13:50:38,22.4,101750,-35.32
2025-01-10 13:50:40,22.4,101756,-35.82
2025-01-10 13:50:42,22.4,101759,-36.07
2025-01-10 13:50:44,22.4,101757,-35.9
2025-01-10 13:50:47,22.4,101756,-35.82
2025-01-10 13:50:49,22.4,101762,-36.32
2025-01-10 13:50:51,22.4,101759,-36.07
2025-01-10 13:50:53,22.4,101763,-36.4
2025-01-10 13:50:55,22.4,101761,-36.24
