Time (min),Temperature (°C),Pressure (Pa),Altitude (m)
0.0,22.1,101719,-32.75
0.04,22.1,101713,-32.25
0.07,22.1,101704,-31.51
0.1,22.1,101717,-32.58
0.14,22.1,101715,-32.42
0.17,22.1,101710,-32.0
0.21,22.1,101714,-32.34
0.24,22.1,101715,-32.42
0.27,22.1,101719,-32.75
0.31,22.1,101706,-31.67
0.34,22.1,101715,-32.42
0.38,22.1,101712,-32.17
0.41,22.1,101709,-31.92
0.45,22.1,101714,-32.34
0.48,22.1,101710,-32.0
0.51,22.1,101711,-32.09
0.55,22.1,101714,-32.34
0.58,22.1,101709,-31.92
0.62,22.1,101718,-32.67
0.65,22.1,101718,-32.67
0.68,22.1,101712,-32.17
0.72,22.1,101715,-32.42
0.75,22.1,101717,-32.58
0.79,22.1,101717,-32.58
0.82,22.1,101713,-32.25
0.86,22.1,101717,-32.58
0.89,22.1,101716,-32.5
0.92,22.1,101714,-32.34
0.96,22.1,101716,-32.5
0.99,22.1,101722,-33.0
1.03,22.1,101713,-32.25
1.06,22.1,101713,-32.25
1.1,22.1,101720,-32.83
1.13,22.1,101712,-32.17
1.16,22.1,101715,-32.42
1.2,22.1,101718,-32.67
1.23,22.2,101726,-33.33
1.27,22.1,101718,-32.67
1.3,22.1,101717,-32.58
1.33,22.1,101716,-32.5
1.37,22.2,101718,-32.67
1.4,22.2,101721,-32.92
1.44,22.1,101712,-32.17
